,location_ref,location_code,location_name,admin1_is_unspecified,admin2_is_unspecified,admin1_ref,admin1_code,admin1_name,admin2_ref,admin2_code,admin2_name,resource_hdx_id,gender,age_range,min_age,max_age,disabled_marker,sector_code,population_group,population_status,population,reference_period_start,reference_period_end,sector_name
74,1,AFG,Afghanistan,False,False,1,AF01,Kabul,1,AF0101,Kabul,8e3931a5-452b-4583-9d02-2247a34e397b,f,18-64,18.0,64.0,all,PRO-CPN,IDP,INN,402,2024-01-01 00:00:00,2024-12-31 23:59:59,Child Protection
75,1,AFG,Afghanistan,False,False,1,AF01,Kabul,1,AF0101,Kabul,8e3931a5-452b-4583-9d02-2247a34e397b,f,18-64,18.0,64.0,all,PRO-CPN,IDP,TGT,261,2024-01-01 00:00:00,2024-12-31 23:59:59,Child Protection
76,1,AFG,Afghanistan,False,False,1,AF01,Kabul,1,AF0101,Kabul,8e3931a5-452b-4583-9d02-2247a34e397b,f,18-64,18.0,64.0,all,PRO-CPN,all,INN,147905,2024-01-01 00:00:00,2024-12-31 23:59:59,Child Protection
77,1,AFG,Afghanistan,False,False,1,AF01,Kabul,1,AF0101,Kabul,8e3931a5-452b-4583-9d02-2247a34e397b,f,18-64,18.0,64.0,all,PRO-CPN,all,TGT,73953,2024-01-01 00:00:00,2024-12-31 23:59:59,Child Protection
78,1,AFG,Afghanistan,False,False,1,AF01,Kabul,1,AF0101,Kabul,8e3931a5-452b-4583-9d02-2247a34e397b,f,18-64,18.0,64.0,all,PRO-GBV,REF,INN,54,2024-01-01 00:00:00,2024-12-31 23:59:59,Gender Based Violence
79,1,AFG,Afghanistan,False,False,1,AF01,Kabul,1,AF0101,Kabul,8e3931a5-452b-4583-9d02-2247a34e397b,f,18-64,18.0,64.0,all,PRO-GBV,REF,TGT,6,2024-01-01 00:00:00,2024-12-31 23:59:59,Gender Based Violence
80,1,AFG,Afghanistan,False,False,1,AF01,Kabul,1,AF0101,Kabul,8e3931a5-452b-4583-9d02-2247a34e397b,f,18-64,18.0,64.0,all,PRO-GBV,IDP,INN,2009,2024-01-01 00:00:00,2024-12-31 23:59:59,Gender Based Violence
81,1,AFG,Afghanistan,False,False,1,AF01,Kabul,1,AF0101,Kabul,8e3931a5-452b-4583-9d02-2247a34e397b,f,18-64,18.0,64.0,all,PRO-GBV,IDP,TGT,241,2024-01-01 00:00:00,2024-12-31 23:59:59,Gender Based Violence
82,1,AFG,Afghanistan,False,False,1,AF01,Kabul,1,AF0101,Kabul,8e3931a5-452b-4583-9d02-2247a34e397b,f,18-64,18.0,64.0,all,PRO-GBV,all,INN,654208,2024-01-01 00:00:00,2024-12-31 23:59:59,Gender Based Violence
83,1,AFG,Afghanistan,False,False,1,AF01,Kabul,1,AF0101,Kabul,8e3931a5-452b-4583-9d02-2247a34e397b,f,18-64,18.0,64.0,all,PRO-GBV,all,TGT,78505,2024-01-01 00:00:00,2024-12-31 23:59:59,Gender Based Violence
84,1,AFG,Afghanistan,False,False,1,AF01,Kabul,1,AF0101,Kabul,8e3931a5-452b-4583-9d02-2247a34e397b,f,18-64,18.0,64.0,all,PRO-HLP,IDP,INN,828,2024-01-01 00:00:00,2024-12-31 23:59:59,"Housing, Land and Property"
85,1,AFG,Afghanistan,False,False,1,AF01,Kabul,1,AF0101,Kabul,8e3931a5-452b-4583-9d02-2247a34e397b,f,18-64,18.0,64.0,all,PRO-HLP,IDP,TGT,32,2024-01-01 00:00:00,2024-12-31 23:59:59,"Housing, Land and Property"
86,1,AFG,Afghanistan,False,False,1,AF01,Kabul,1,AF0101,Kabul,8e3931a5-452b-4583-9d02-2247a34e397b,f,18-64,18.0,64.0,all,PRO-HLP,all,INN,258382,2024-01-01 00:00:00,2024-12-31 23:59:59,"Housing, Land and Property"
87,1,AFG,Afghanistan,False,False,1,AF01,Kabul,1,AF0101,Kabul,8e3931a5-452b-4583-9d02-2247a34e397b,f,18-64,18.0,64.0,all,PRO-HLP,all,TGT,10062,2024-01-01 00:00:00,2024-12-31 23:59:59,"Housing, Land and Property"
88,1,AFG,Afghanistan,False,False,1,AF01,Kabul,1,AF0101,Kabul,8e3931a5-452b-4583-9d02-2247a34e397b,f,18-64,18.0,64.0,all,PRO-MIN,IDP,INN,4018,2024-01-01 00:00:00,2024-12-31 23:59:59,Mine Action
89,1,AFG,Afghanistan,False,False,1,AF01,Kabul,1,AF0101,Kabul,8e3931a5-452b-4583-9d02-2247a34e397b,f,18-64,18.0,64.0,all,PRO-MIN,IDP,TGT,1205,2024-01-01 00:00:00,2024-12-31 23:59:59,Mine Action
90,1,AFG,Afghanistan,False,False,1,AF01,Kabul,1,AF0101,Kabul,8e3931a5-452b-4583-9d02-2247a34e397b,f,18-64,18.0,64.0,all,PRO-MIN,all,INN,30398,2024-01-01 00:00:00,2024-12-31 23:59:59,Mine Action
91,1,AFG,Afghanistan,False,False,1,AF01,Kabul,1,AF0101,Kabul,8e3931a5-452b-4583-9d02-2247a34e397b,f,18-64,18.0,64.0,all,PRO-MIN,all,TGT,5352,2024-01-01 00:00:00,2024-12-31 23:59:59,Mine Action
92,1,AFG,Afghanistan,False,False,1,AF01,Kabul,1,AF0101,Kabul,8e3931a5-452b-4583-9d02-2247a34e397b,f,18-64,18.0,64.0,all,SHL,IDP,INN,1813,2024-01-01 00:00:00,2024-12-31 23:59:59,Emergency Shelter and NFI
93,1,AFG,Afghanistan,False,False,1,AF01,Kabul,1,AF0101,Kabul,8e3931a5-452b-4583-9d02-2247a34e397b,f,18-64,18.0,64.0,all,SHL,IDP,TGT,1813,2024-01-01 00:00:00,2024-12-31 23:59:59,Emergency Shelter and NFI
94,1,AFG,Afghanistan,False,False,1,AF01,Kabul,1,AF0101,Kabul,8e3931a5-452b-4583-9d02-2247a34e397b,f,18-64,18.0,64.0,all,SHL,all,INN,106959,2024-01-01 00:00:00,2024-12-31 23:59:59,Emergency Shelter and NFI
95,1,AFG,Afghanistan,False,False,1,AF01,Kabul,1,AF0101,Kabul,8e3931a5-452b-4583-9d02-2247a34e397b,f,18-64,18.0,64.0,all,SHL,all,TGT,17308,2024-01-01 00:00:00,2024-12-31 23:59:59,Emergency Shelter and NFI
96,1,AFG,Afghanistan,False,False,1,AF01,Kabul,1,AF0101,Kabul,8e3931a5-452b-4583-9d02-2247a34e397b,f,18-64,18.0,64.0,all,WSH,all,INN,23852,2024-01-01 00:00:00,2024-12-31 23:59:59,Water Sanitation Hygiene
97,1,AFG,Afghanistan,False,False,1,AF01,Kabul,1,AF0101,Kabul,8e3931a5-452b-4583-9d02-2247a34e397b,f,18-64,18.0,64.0,all,WSH,all,TGT,15504,2024-01-01 00:00:00,2024-12-31 23:59:59,Water Sanitation Hygiene
98,1,AFG,Afghanistan,False,False,1,AF01,Kabul,1,AF0101,Kabul,8e3931a5-452b-4583-9d02-2247a34e397b,m,0-17,0.0,17.0,all,EDU,all,INN,403200,2024-01-01 00:00:00,2024-12-31 23:59:59,Education
99,1,AFG,Afghanistan,False,False,1,AF01,Kabul,1,AF0101,Kabul,8e3931a5-452b-4583-9d02-2247a34e397b,m,0-17,0.0,17.0,all,EDU,all,TGT,67783,2024-01-01 00:00:00,2024-12-31 23:59:59,Education
100,1,AFG,Afghanistan,False,False,1,AF01,Kabul,1,AF0101,Kabul,8e3931a5-452b-4583-9d02-2247a34e397b,m,0-17,0.0,17.0,all,FSC,REF,INN,110,2024-01-01 00:00:00,2024-12-31 23:59:59,Food Security
